destination_id	category_id
1	6
1	13
1	15
1	18
2	6
2	13
2	15
3	6
3	15
4	7
4	12
4	15
5	7
5	12
5	2
5	15
6	6
6	13
6	15
6	18
7	6
7	13
7	15
7	16
8	6
8	20
9	6
9	13
10	6
10	15
11	6
11	13
11	15
12	13
12	16
12	15
13	15
13	16
14	7
14	20
15	6
15	13
15	15
15	16
16	6
16	13
16	14
17	7
17	13
17	14
17	18
18	6
18	12
18	15
19	7
19	12
19	15
21	6
21	15
22	6
22	15
23	15
23	16
24	6
24	14
25	6
25	14
26	6
26	12
27	6
27	13
27	15
28	6
28	13
28	15
29	6
29	13
29	15
29	16
30	6
30	15
30	13
31	6
31	13
31	14
32	6
32	13
32	15
33	6
33	13
33	15
34	6
34	13
34	15
35	6
35	13
35	15
35	16
36	6
36	14
37	6
37	14
38	7
38	13
38	15
39	7
39	13
39	15
40	6
40	13
40	14
41	6
41	13
41	15
42	15
42	16
43	15
43	16
44	15
44	16
45	15
45	16
46	6
46	14