food_id	category_id
0	0
0	2
0	5
0	9
1	2
1	5
2	5
2	0
2	7
2	10
0	0
1	0
3	0
3	10
3	5
3	18
3	3
4	0
4	1
4	5
4	17
5	0
5	5
5	18
5	7
6	0
6	6
6	7
6	3
6	1
7	0
7	5
7	9
8	0
8	1
8	5
8	8
9	0
9	5
9	9
10	0
10	5
10	9
11	0
11	1
11	5
11	9
12	0
12	1
12	5
12	9
13	0
13	1
13	5
13	9
14	0
14	5
14	7
15	0
15	5
15	7
16	0
16	5
16	7
17	0
17	5
17	7
18	0
18	5
18	7
19	0
19	5
19	7
20	1
20	6
20	10
21	1
21	5
20	17
22	1
22	5
23	1
23	5
24	1
24	5
25	1
25	5
26	1
26	5
27	1
27	6
28	1
28	5
29	1
29	5
30	1
30	5
30	10
31	1
31	6
31	10
31	3
20	3
32	0
32	1
32	3
32	5
33	0
33	1
33	3
33	5
34	0
34	1
34	3
34	5
34	4
35	0
35	1
35	3
35	4
35	5
35	9
36	0
36	1
36	3
36	4
36	5
37	0
37	1
37	3
37	6
37	18
33	4
38	0
38	5
38	10
38	9
39	0
39	5
39	9
39	10
40	0
40	5
40	7
40	9
40	10
41	0
41	1
41	3
41	5
41	9
41	10
42	0
42	1
42	3
42	4
42	5
42	9
43	0
43	1
43	3
43	5
43	9
44	0
44	6
44	5
45	0
45	5
45	10
46	0
46	5
47	0
47	5
47	10
48	0
48	5
48	10
49	0
49	6
49	9
50	0
50	1
50	3
50	5
50	10
50	18
51	0
51	2
51	5
52	0
52	2
52	5
53	0
53	2
53	5
54	0
54	2
54	5
55	1
55	5
55	3
33	4
56	1
56	3
56	5
57	1
57	3
57	5
58	0
58	1
58	3
58	5
58	9
59	0
59	5
59	18
60	0
60	1
60	3
60	5
61	0
61	5
61	18
62	0
62	1
62	5
63	0
63	1
63	5
64	0
64	3
64	5
65	0
65	2
65	3
65	5
65	9
66	1
66	5
67	0
67	5
67	9
68	0
68	1
68	3
68	5
68	6
69	1
69	5
70	0
70	5
71	0
71	1
71	3
71	5
72	0
72	3
72	5
73	0
73	1
73	3
73	4
73	5
74	0
74	1
74	3
74	5
74	9
75	0
75	1
75	3
75	5
76	0
76	1
76	3
77	0
77	1
77	5
77	7
78	0
78	5
79	0
79	1
79	3
79	5
80	0
80	1
80	3
80	4
80	5
81	0
81	5
82	1
82	3
82	5
83	0
83	1
83	3
83	5
84	0
84	1
84	3
84	5