Location	Lat	Lon
Planet Hollywood	36.1100	-115.1017
Aria	36.1073	-115.1766
Cosmopolitan	36.1098	-115.1739
Mirage	36.1212	-115.1741
Caesars	36.1162	-115.1745
Flamingo	36.1164	-115.1708
Linq	36.1179	-115.1708
Rio	36.1175	-115.1882
City Center	36.1073	-115.1756
Crystals @ City Center	36.1078	-115.1744
Forum Shops @ Caesars	36.1181	-115.1780
Mandalay Bay	36.0912	-115.1760
Excalibur	36.0988	-115.1754
Circus Circus	36.1376	-115.1654
Treasure Island	36.1247	-115.1721
Paris	36.1125	-115.1707
New York New York	36.1021	-115.1744
Mandalay Shoppes	36.0942	-115.1757
Palazzo	36.1240	-115.1680
Luxor	36.0955	-115.1761
Between Mandalay and Luxor	36.0933	-115.1761
Binions	36.1713	-115.1440
4 Queens	36.1697	-115.1434
Golden Nugget	36.1700	-115.1450
Whisky Licker Up	36.1713	-115.1440
Bellagio	36.1129	-115.1765
Downtown Container Park	36.1676	-115.1384
The Park between Park MGM and NYNY	36.1035	-115.1743
MGM Grand	36.1025	-115.1703
Stratosphere	36.1475	-115.1566
Harrahs	36.1197	-115.1708
Cromwell	36.1150	-115.1724
Wynn	36.1265	-115.1657
Miracle Mile Shops	36.1093	-115.1726
North of Wynn, across from Resort World	36.1341	-115.1657
Ballys	36.1140	-115.1676
Monte Carlo	36.1047	-115.1743
Delano	36.0931	-115.1773
The Park at MGM	36.1047	-115.1743
Downtown	36.1708	-115.1443
Grand Canal Shoppes	36.1216	-115.1690
Vdara	36.1095	-115.1776
Tropicana	36.0996	-115.1714
Venetian	36.1212	-115.1697
Between Wynn and Riviera	36.1337	-115.1631
Near Sahara, downtown	36.1434	-115.1567
Linq Promenade	36.1178	-115.1726
OYO	36.1002	-115.1677
Top Golf	36.1060	-115.1646
Cosmopolitan, level 2, The Chelsea Tower	36.1098	-115.1739
Downtown, near Cowboy neon sign 1 block on Las Vegas Blvd	36.1711	-115.1454